--------------------------------------------------------------------------------
[2026-07-19 15:52:15] [INFO   ] [START          ] --- DÉBUT DE SYNCHRONISATION ---
[2026-07-19 15:52:15] [INFO   ] [API_CALL       ] Requete: 50SF | F
[2026-07-19 15:52:17] [INFO   ] [API_CALL       ] Requete: 50SF | M
[2026-07-19 15:52:19] [INFO   ] [INSERT         ] Zacharie LEDUC (50SF) | Ajout 1er temps : 00:23.06 @ Lorient
[2026-07-19 15:52:19] [SUCCESS] [UPDATE         ] Luca SOLLAZZO (50SF) | Ancien: 00:24.09 -> Nouveau: 00:23.30 @ Limoges
[2026-07-19 15:52:19] [INFO   ] [INSERT         ] Nevis VIGOUROUX (50SF) | Ajout 1er temps : 00:26.51 @ Lorient
[2026-07-19 15:52:19] [INFO   ] [INSERT         ] Celian PRIGENT (50SF) | Ajout 1er temps : 00:26.63 @ Lorient
[2026-07-19 15:52:19] [INFO   ] [INSERT         ] Yves PRIGENT (50SF) | Ajout 1er temps : 00:27.28 @ Rennes
[2026-07-19 15:52:19] [INFO   ] [INSERT         ] Thomas LEBEE (50SF) | Ajout 1er temps : 00:27.67 @ Lorient
[2026-07-19 15:52:19] [SUCCESS] [UPDATE         ] Simon LANDOLSI (50SF) | Ancien: 00:30.55 -> Nouveau: 00:29.59 @ La roche-sur-yon
[2026-07-19 15:52:19] [INFO   ] [API_CALL       ] Requete: 100SF | F
[2026-07-19 15:52:22] [INFO   ] [API_CALL       ] Requete: 100SF | M
[2026-07-19 15:52:24] [INFO   ] [API_CALL       ] Requete: 200SF | F
[2026-07-19 15:52:26] [INFO   ] [API_CALL       ] Requete: 200SF | M
[2026-07-19 15:52:28] [INFO   ] [API_CALL       ] Requete: 400SF | F
[2026-07-19 15:52:30] [INFO   ] [API_CALL       ] Requete: 400SF | M
[2026-07-19 15:52:32] [INFO   ] [API_CALL       ] Requete: 800SF | F
[2026-07-19 15:52:35] [INFO   ] [API_CALL       ] Requete: 800SF | M
[2026-07-19 15:52:37] [INFO   ] [API_CALL       ] Requete: 1500SF | F
[2026-07-19 15:52:38] [INFO   ] [API_CALL       ] Requete: 1500SF | M
[2026-07-19 15:52:40] [INFO   ] [API_CALL       ] Requete: 50AP | F
[2026-07-19 15:52:43] [INFO   ] [API_CALL       ] Requete: 50AP | M
[2026-07-19 15:52:45] [SUCCESS] [UPDATE         ] Luca SOLLAZZO (50AP) | Ancien: 00:21.60 -> Nouveau: 00:19.39 @ Limoges
[2026-07-19 15:52:45] [INFO   ] [INSERT         ] Celian PRIGENT (50AP) | Ajout 1er temps : 00:24.39 @ Quimper
[2026-07-19 15:52:45] [INFO   ] [API_CALL       ] Requete: 100IS | F
[2026-07-19 15:52:46] [INFO   ] [API_CALL       ] Requete: 100IS | M
[2026-07-19 15:52:49] [INFO   ] [API_CALL       ] Requete: 800IS | F
[2026-07-19 15:52:51] [INFO   ] [API_CALL       ] Requete: 800IS | M
[2026-07-19 15:52:53] [INFO   ] [API_CALL       ] Requete: 200IS | F
[2026-07-19 15:52:56] [INFO   ] [API_CALL       ] Requete: 200IS | M
[2026-07-19 15:52:58] [INFO   ] [API_CALL       ] Requete: 400IS | F
[2026-07-19 15:53:00] [INFO   ] [API_CALL       ] Requete: 400IS | M
[2026-07-19 15:53:02] [INFO   ] [API_CALL       ] Requete: 50BI | F
[2026-07-19 15:53:05] [INFO   ] [API_CALL       ] Requete: 50BI | M
[2026-07-19 15:53:07] [INFO   ] [API_CALL       ] Requete: 100BI | F
[2026-07-19 15:53:10] [INFO   ] [API_CALL       ] Requete: 100BI | M
[2026-07-19 15:53:11] [INFO   ] [API_CALL       ] Requete: 200BI | F
[2026-07-19 15:53:14] [INFO   ] [API_CALL       ] Requete: 200BI | M
[2026-07-19 15:53:15] [INFO   ] [API_CALL       ] Requete: 400BI | F
[2026-07-19 15:53:18] [INFO   ] [API_CALL       ] Requete: 400BI | M
[2026-07-19 15:53:20] [SUCCESS] [UPDATE         ] Luca SOLLAZZO (400BI) | Ancien: 04:21.89 -> Nouveau: 04:09.50 @ Aix en provence
[2026-07-19 15:53:20] [INFO   ] [INSERT         ] Celian PRIGENT (400BI) | Ajout 1er temps : 04:27.46 @ Rennes
[2026-07-19 15:53:20] [INFO   ] [INSERT         ] Zacharie LEDUC (400BI) | Ajout 1er temps : 04:28.17 @ Brest
[2026-07-19 15:53:20] [SUCCESS] [UPDATE         ] Thierry HENRI (400BI) | Ancien: 04:37.71 -> Nouveau: 04:32.71 @ La roche-sur-yon
[2026-07-19 15:53:20] [INFO   ] [INSERT         ] Maxime LE POGAM (400BI) | Ajout 1er temps : 04:47.74 @ Auray
[2026-07-19 15:53:20] [SUCCESS] [UPDATE         ] Nevis VIGOUROUX (400BI) | Ancien: 05:05.62 -> Nouveau: 04:57.17 @ Limoges
[2026-07-19 15:53:20] [INFO   ] [INSERT         ] Killian TORC'H (400BI) | Ajout 1er temps : 05:04.56 @ Baud
[2026-07-19 15:53:20] [INFO   ] [INSERT         ] Simon LANDOLSI (400BI) | Ajout 1er temps : 05:11.85 @ Lorient
[2026-07-19 15:53:20] [INFO   ] [INSERT         ] Christophe KERJEAN (400BI) | Ajout 1er temps : 05:15.92 @ Baud
[2026-07-19 15:53:20] [INFO   ] [INSERT         ] Yves PRIGENT (400BI) | Ajout 1er temps : 05:25.65 @ Brest
[2026-07-19 15:53:20] [INFO   ] [END            ] --- FIN DE SYNCHRONISATION ---
