Épreuve;Place;Nom/Prénom;Année;Catégorie;Club;Temps;Statut/Remarque
"50m Surface Seniors Femmes - Séries";36;"LEBEE Garance";12;FCA;*PEC;25.49;
"50m Surface Seniors Femmes - Séries";38;"ROZE Emma";11;FCA;*PEC;26.96;
"50m Surface Seniors Hommes - Séries";19;"FRANCES Mathis";06;HSE;*PEC;20.29;
"100m Bipalmes Seniors Femmes - Séries";14;"BOUTOUILLER Florie";05;FSE;*PEC;53.86;"(en finale)"
"100m Bipalmes Seniors Femmes - Séries";24;"KERJEAN Eloise";10;FJU;*PEC;57.17;
"100m Bipalmes Seniors Hommes - Séries";18;"TORC'H Killian";03;HSE;*PEC;48.54;
"100m Bipalmes Seniors Hommes - Séries";23;"SOLLAZZO Luca";11;HCA;*PEC;50.51;
"100m Bipalmes Seniors Hommes - Séries";34;"VIGOUROUX Nevis";11;HCA;*PEC;56.66;
"200m Immersion Seniors Femmes - Séries";24;"LEBEE Garance";12;FCA;*PEC;2:19.30;
"200m Immersion Seniors Hommes - Séries";15;"LE POGAM Maxime";12;HCA;*PEC;2:34.93;
